ts,time,TAC,blocked,cutoff,volte,msg,tot
1018030,10/18/18 03:00,29465,10,10,1415,241,7056
1018031,10/18/18 03:10,27214,0,12,2220,429,13530
1018031,10/18/18 03:10,28672,0,0,60,12,552
1018031,10/18/18 03:10,28681,22,48,8579,886,40861
1018031,10/18/18 03:10,28682,54,130,19671,1433,84332
1018031,10/18/18 03:10,28683,46,40,12354,642,43721
1018031,10/18/18 03:10,28684,18,52,13237,739,72931
1018031,10/18/18 03:10,28685,54,88,15028,798,80503
1018031,10/18/18 03:10,28688,44,178,15669,958,65002
1018031,10/18/18 03:10,29449,32,130,2656,273,14425
1018031,10/18/18 03:10,29465,9,50,1646,269,7979
1018032,10/18/18 03:20,27214,15,24,2196,273,11385
1018032,10/18/18 03:20,28672,0,0,30,6,564
1018032,10/18/18 03:20,28681,14,144,7259,1018,38420
1018032,10/18/18 03:20,28682,63,112,18067,1056,80785
1018032,10/18/18 03:20,28683,12,61,11431,605,42253
1018032,10/18/18 03:20,28684,12,136,11896,906,72001
1018032,10/18/18 03:20,28685,30,123,13967,995,76987
1018032,10/18/18 03:20,28688,40,127,13961,812,63252
1018032,10/18/18 03:20,29449,53,85,2297,204,13508
1018032,10/18/18 03:20,29465,0,10,1089,271,6695
1018033,10/18/18 03:30,27214,0,9,1890,237,13119
1018033,10/18/18 03:30,28672,0,0,78,6,546
1018033,10/18/18 03:30,28681,8,98,6684,825,38479
1018033,10/18/18 03:30,28682,40,107,16123,1146,76431
1018033,10/18/18 03:30,28683,6,35,12271,444,43518
1018033,10/18/18 03:30,28684,10,26,10879,777,68284
1018033,10/18/18 03:30,28685,18,37,12339,738,77861
1018033,10/18/18 03:30,28688,0,62,12484,667,60616
1018033,10/18/18 03:30,29449,35,8,2025,165,12877
1018033,10/18/18 03:30,29465,0,0,917,228,6527
1018034,10/18/18 03:40,27214,0,0,1566,177,11778
1018034,10/18/18 03:40,28672,0,0,66,18,618
1018034,10/18/18 03:40,28681,30,27,5892,727,35878
1018034,10/18/18 03:40,28682,50,119,13792,856,74335
1018034,10/18/18 03:40,28683,10,85,8901,309,36490
1018034,10/18/18 03:40,28684,6,97,9193,582,64850
1018034,10/18/18 03:40,28685,6,63,10692,803,73264
1018034,10/18/18 03:40,28688,20,58,11054,599,56160
1018034,10/18/18 03:40,29449,15,52,2012,128,13138
1018034,10/18/18 03:40,29465,8,0,736,116,5941
1018035,10/18/18 03:50,27214,0,24,1428,273,11691
1018035,10/18/18 03:50,28672,0,0,60,0,510
1018035,10/18/18 03:50,28681,0,57,5120,466,34925
1018035,10/18/18 03:50,28682,16,42,14127,776,70623
1018035,10/18/18 03:50,28683,0,44,8925,428,37924
1018035,10/18/18 03:50,28684,28,46,7728,516,62946
1018035,10/18/18 03:50,28685,9,96,9374,650,71404
1018035,10/18/18 03:50,28688,16,44,10038,504,55694
1018035,10/18/18 03:50,29449,23,59,1358,123,13050
1018035,10/18/18 03:50,29465,0,0,997,92,6456
1018040,10/18/18 04:00,27214,0,6,1473,195,11700
1018040,10/18/18 04:00,28672,0,0,30,0,642
1018040,10/18/18 04:00,28681,16,22,4690,501,33672
1018040,10/18/18 04:00,28682,0,40,11911,846,68869
1018040,10/18/18 04:00,28683,7,22,8409,200,37392
1018040,10/18/18 04:00,28684,18,38,7668,586,61976
1018040,10/18/18 04:00,28685,17,98,8910,642,68919
1018040,10/18/18 04:00,28688,18,14,9790,552,54181
1018040,10/18/18 04:00,29449,20,7,1200,94,11465
1018040,10/18/18 04:00,29465,8,32,818,88,6105
1018041,10/18/18 04:10,27214,0,0,1473,204,12015
1018041,10/18/18 04:10,28672,0,0,48,0,732
1018041,10/18/18 04:10,28681,0,56,4382,451,35321
1018041,10/18/18 04:10,28682,3,41,11475,614,68617
1018041,10/18/18 04:10,28683,12,34,8476,283,37215
1018041,10/18/18 04:10,28684,22,65,6192,456,60081
1018041,10/18/18 04:10,28685,30,48,7933,509,65879
1018041,10/18/18 04:10,28688,12,71,8188,740,55139
1018041,10/18/18 04:10,29449,43,29,1011,45,11143
1018041,10/18/18 04:10,29465,6,13,780,11,6220
1018042,10/18/18 04:20,27214,0,45,1182,171,10218
1018042,10/18/18 04:20,28672,0,0,48,0,486
1018042,10/18/18 04:20,28681,16,0,3685,289,31396
1018042,10/18/18 04:20,28682,3,54,10086,543,64334
1018042,10/18/18 04:20,28683,54,10,7959,401,36109
1018042,10/18/18 04:20,28684,0,0,4851,255,54483
1018042,10/18/18 04:20,28685,9,11,6575,607,62693
1018042,10/18/18 04:20,28688,14,90,7014,495,50148
1018042,10/18/18 04:20,29449,14,14,1149,65,10818
1018042,10/18/18 04:20,29465,20,17,482,12,5022
1018043,10/18/18 04:30,27214,12,51,750,132,9684
1018043,10/18/18 04:30,28672,0,0,24,6,492
1018043,10/18/18 04:30,28681,0,14,2891,432,32619
1018043,10/18/18 04:30,28682,47,46,9518,522,62940
1018043,10/18/18 04:30,28683,8,0,6497,322,33447
1018043,10/18/18 04:30,28684,20,22,4323,446,55328
1018043,10/18/18 04:30,28685,8,12,6264,229,61122
1018043,10/18/18 04:30,28688,14,37,6785,298,49191
1018043,10/18/18 04:30,29449,18,6,709,261,11512
1018043,10/18/18 04:30,29465,0,0,450,21,5295
1018044,10/18/18 04:40,27214,0,0,657,162,10098
1018044,10/18/18 04:40,28672,0,0,18,0,510
1018044,10/18/18 04:40,28681,17,0,3031,469,30657
1018044,10/18/18 04:40,28682,46,84,8875,859,62835
1018044,10/18/18 04:40,28683,4,38,5633,159,32478
1018044,10/18/18 04:40,28684,17,0,3320,420,53809
1018044,10/18/18 04:40,28685,20,12,4940,238,60996
1018044,10/18/18 04:40,28688,20,0,5792,181,46248
1018044,10/18/18 04:40,29449,0,0,771,105,10444
1018044,10/18/18 04:40,29465,0,0,477,14,5272
1018045,10/18/18 04:50,27214,0,0,696,201,8838
1018045,10/18/18 04:50,28672,0,0,42,6,540
1018045,10/18/18 04:50,28681,0,62,2654,387,27693
1018045,10/18/18 04:50,28682,6,22,7335,433,59548
1018045,10/18/18 04:50,28683,12,31,5321,166,30318
1018045,10/18/18 04:50,28684,6,18,2977,309,53080
1018045,10/18/18 04:50,28685,12,24,4554,317,58947
1018045,10/18/18 04:50,28688,0,0,5414,176,42808
1018045,10/18/18 04:50,29449,6,74,545,133,9753
1018045,10/18/18 04:50,29465,0,7,480,32,5414
1018050,10/18/18 05:00,27214,0,0,531,99,8877
1018050,10/18/18 05:00,28672,0,0,30,0,516
1018050,10/18/18 05:00,28681,8,0,2434,424,28992
1018050,10/18/18 05:00,28682,0,77,7364,644,59320
1018050,10/18/18 05:00,28683,2,84,5793,258,30233
1018050,10/18/18 05:00,28684,0,16,2635,197,51332
1018050,10/18/18 05:00,28685,8,9,4052,375,57458
1018050,10/18/18 05:00,28688,1,14,5219,228,45448
1018050,10/18/18 05:00,29449,0,0,561,119,11150
1018050,10/18/18 05:00,29465,0,6,264,17,4791
1018051,10/18/18 05:10,27214,0,0,405,96,8373
1018051,10/18/18 05:10,28672,0,0,12,0,660
1018051,10/18/18 05:10,28681,11,43,1694,346,27799
1018051,10/18/18 05:10,28682,35,11,6298,588,56437
1018051,10/18/18 05:10,28683,0,32,5097,78,29441
1018051,10/18/18 05:10,28684,10,6,2722,135,52741
1018051,10/18/18 05:10,28685,0,15,3744,400,57122
1018051,10/18/18 05:10,28688,17,29,4489,231,42511
1018051,10/18/18 05:10,29449,0,0,563,48,9881
1018051,10/18/18 05:10,29465,0,0,216,9,4577
1018052,10/18/18 05:20,27214,9,0,462,12,8625
1018052,10/18/18 05:20,28672,0,0,0,6,486
1018052,10/18/18 05:20,28681,17,33,1968,209,26254
1018052,10/18/18 05:20,28682,0,21,5831,333,54086
1018052,10/18/18 05:20,28683,12,14,5101,140,29393
1018052,10/18/18 05:20,28684,11,10,2050,167,50334
1018052,10/18/18 05:20,28685,18,3,3035,203,53298
1018052,10/18/18 05:20,28688,0,6,3590,236,40669
1018052,10/18/18 05:20,29449,0,0,317,60,10063
1018052,10/18/18 05:20,29465,0,0,286,0,5093
1018053,10/18/18 05:30,27214,0,12,594,30,9078
1018053,10/18/18 05:30,28672,0,0,6,0,510
1018053,10/18/18 05:30,28681,0,79,1937,249,26498
1018053,10/18/18 05:30,28682,0,36,5121,397,55191
1018053,10/18/18 05:30,28683,18,14,4239,133,27671
1018053,10/18/18 05:30,28684,0,20,2068,150,50645
1018053,10/18/18 05:30,28685,10,3,3033,170,55778
1018053,10/18/18 05:30,28688,12,0,3146,130,40935
1018053,10/18/18 05:30,29449,0,0,429,84,9927
1018053,10/18/18 05:30,29465,0,0,292,0,4579
1018054,10/18/18 05:40,27214,0,0,279,63,7782
1018054,10/18/18 05:40,28672,0,0,6,0,516
1018054,10/18/18 05:40,28681,0,8,1382,298,26027
1018054,10/18/18 05:40,28682,0,34,4387,435,51920
1018054,10/18/18 05:40,28683,10,12,4082,274,28020
1018054,10/18/18 05:40,28684,0,12,2067,127,49865
1018054,10/18/18 05:40,28685,0,3,2423,106,52488
1018054,10/18/18 05:40,28688,12,29,2881,190,41058
1018054,10/18/18 05:40,29449,14,18,380,52,9231
1018054,10/18/18 05:40,29465,0,0,345,28,4700
1018055,10/18/18 05:50,27214,0,39,435,69,8832
1018055,10/18/18 05:50,28672,0,0,0,0,384
1018055,10/18/18 05:50,28681,0,0,1303,179,24833
1018055,10/18/18 05:50,28682,0,29,4596,253,51961
1018055,10/18/18 05:50,28683,0,24,3403,42,25560
1018055,10/18/18 05:50,28684,0,0,1449,31,49303
1018055,10/18/18 05:50,28685,8,26,2705,99,53718
1018055,10/18/18 05:50,28688,0,10,2423,194,37120
1018055,10/18/18 05:50,29449,7,15,248,25,9976
1018055,10/18/18 05:50,29465,6,0,202,0,4571
1018060,10/18/18 06:00,27214,0,24,372,48,9180
1018060,10/18/18 06:00,28672,0,0,6,0,504
1018060,10/18/18 06:00,28681,0,0,1385,120,26865
1018060,10/18/18 06:00,28682,8,0,4051,239,51845
1018060,10/18/18 06:00,28683,13,0,3327,18,26225
1018060,10/18/18 06:00,28684,17,0,1503,87,47911
1018060,10/18/18 06:00,28685,32,39,2157,76,54732
1018060,10/18/18 06:00,28688,0,8,2115,97,39405
1018060,10/18/18 06:00,29449,0,0,215,0,9010
1018060,10/18/18 06:00,29465,0,0,174,0,4831
1018061,10/18/18 06:10,27214,0,0,408,54,8853
1018061,10/18/18 06:10,28672,0,0,0,0,558
1018061,10/18/18 06:10,28681,14,11,998,112,26074
1018061,10/18/18 06:10,28682,14,23,2966,89,51606
1018061,10/18/18 06:10,28683,0,10,2741,88,24465
1018061,10/18/18 06:10,28684,0,10,1200,20,48053
1018061,10/18/18 06:10,28685,0,0,1828,233,50970
1018061,10/18/18 06:10,28688,11,12,1841,189,40283
1018061,10/18/18 06:10,29449,24,33,231,124,8659
1018061,10/18/18 06:10,29465,7,0,214,17,5504
1018062,10/18/18 06:20,27214,0,0,273,24,8220
1018062,10/18/18 06:20,28672,0,0,0,0,426
1018062,10/18/18 06:20,28681,0,0,744,78,25562
1018062,10/18/18 06:20,28682,12,0,3175,162,52226
1018062,10/18/18 06:20,28683,0,66,2529,176,25235
1018062,10/18/18 06:20,28684,0,35,893,62,48143
1018062,10/18/18 06:20,28685,8,0,1659,52,51989
1018062,10/18/18 06:20,28688,0,0,1721,100,38467
1018062,10/18/18 06:20,29449,0,0,242,77,9475
1018062,10/18/18 06:20,29465,0,0,292,0,4622
1018063,10/18/18 06:30,27214,0,0,321,21,9600
1018063,10/18/18 06:30,28672,0,0,0,0,486
1018063,10/18/18 06:30,28681,0,0,848,152,26274
1018063,10/18/18 06:30,28682,11,41,2999,234,51375
1018063,10/18/18 06:30,28683,0,0,2493,162,24236
1018063,10/18/18 06:30,28684,20,11,1105,20,49185
1018063,10/18/18 06:30,28685,0,3,1644,6,52019
1018063,10/18/18 06:30,28688,0,0,1831,54,39151
1018063,10/18/18 06:30,29449,0,30,256,102,9027
1018063,10/18/18 06:30,29465,0,0,285,0,5406
1018064,10/18/18 06:40,27214,0,0,255,36,9297
1018064,10/18/18 06:40,28672,0,0,6,6,624
1018064,10/18/18 06:40,28681,0,0,928,64,26872
1018064,10/18/18 06:40,28682,19,0,2691,168,50790
1018064,10/18/18 06:40,28683,2,0,2482,66,23769
1018064,10/18/18 06:40,28684,0,13,958,40,48259
1018064,10/18/18 06:40,28685,0,0,1377,42,52726
1018064,10/18/18 06:40,28688,0,11,1669,66,40282
1018064,10/18/18 06:40,29449,14,15,260,15,8971
1018064,10/18/18 06:40,29465,0,0,160,0,5021
1018065,10/18/18 06:50,27214,0,12,156,42,8781
1018065,10/18/18 06:50,28672,0,0,0,0,480
1018065,10/18/18 06:50,28681,0,0,770,36,26117
1018065,10/18/18 06:50,28682,0,12,2615,94,52011
